Cód. Perfil;Sigla;Nome Empresarial;CNPJ BÁSICO;CNPJ;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22;out/22;nov/22;dez/22;média
71361;ROCHAVERA;CONDOMINIO ROCHAVERA CORPORATE TOWERS;11523063;11.523.063/0001-49;1.099,77;729,482;1.036,91;1.405,04;1.239,85;1.191,59;1.327,04;1.073,79;;;;;1.137,93
71367;HERMES PARDINI;INSTITUTO HERMES PARDINI S/A;19378769;19.378.769/0001-76;668,473;617,494;722,83;634,046;573,853;534,292;558,412;573,06;;;;;610,31
71369;ASPEC;ASPEC SOCIEDADE PARAIBANA DE EDUCACAO E CULTURA LTDA;5247100;05.247.100/0001-30;32,988;42,269;78,999;66,715;76,39;49,503;30,13;55,91;;;;;54,11
71371;ADEL COCO;ADEL COCO BRASIL INDUSTRIA E COMERCIO LTDA;10567693;10.567.693/0001-52;234,076;243,267;260,051;207,662;253,945;240,271;242,103;255,174;;;;;242,07
71372;MUNDIAL SUPERMERCADOS;SUPERMERCADOS MUNDIAL LTDA;33304981;33.304.981/0001-10;4.631,58;4.259,92;4.870,47;4.346,93;4.066,53;3.636,26;3.964,35;3.826,88;;;;;4.200,37
71373;MINERACAO THOMAZINI;MINERACAO THOMAZINI LTDA;36346393;36.346.393/0001-37;30,217;52,234;64,183;66,615;85,237;82,965;61,191;74,012;;;;;64,58
71374;FASIPE;FASIPE CENTRO EDUCACIONAL LTDA;7939776;07.939.776/0001-10;52,299;108,754;144,274;116,982;117,836;110,36;85,831;137,976;;;;;109,29
71381;CITROSUCO MATAO FARM;CITROSUCO S/A AGROINDUSTRIA;33010786;33.010.786/0001-87;27,036;24,316;22,96;21,831;23,206;23,627;24,361;25,281;;;;;24,08
71385;MULTIOPTICA S;MULTI OPTICA DISTRIBUIDORA LTDA;30260871;30.260.871/0001-05;176,099;176,007;193,267;170,888;163,184;146,634;144,995;155,697;;;;;165,85
71388;COOPAVEL COOPERATIVA CL;COOPAVEL COOPERATIVA AGROINDUSTRIAL;76098219;76.098.219/0001-37;8.964,21;8.328,18;9.646,91;8.491,14;8.702,73;7.275,62;7.609,78;7.539,55;;;;;8.319,76
71417;CONTINENTE;CONTINENTE EMPREENDIMENTOS IMOBILIARIOS LTDA;31546666;31.546.666/0001-73;210,196;191,225;227,761;165,674;144,523;110,532;126,52;110,331;;;;;160,85
71418;LA PASTINA;REAL COMERCIAL LTDA;2780640;02.780.640/0001-97;100,353;95,977;112,033;90,048;85,172;77,727;83,717;83,733;;;;;91,1
71419;PLUMA CASSILANDIA;CASSILANDIA AGROAVICOLA LTDA;7277875;07.277.875/0001-84;424,471;375,079;422,59;381,317;320,834;303,244;329,034;311,913;;;;;358,56
71420;PANCO;LUA NOVA IND E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;62461140;62.461.140/0001-14;319,074;295,291;363,199;328,795;345,708;331,754;335,572;363,428;;;;;335,35
71441;POLO FILMSF;POLO FILMS INDUSTRIA E COMERCIO S/A;26051817;26.051.817/0002-63;5.882,04;5.508,25;6.190,30;6.020,95;5.638,36;5.889,89;6.096,92;6.048,47;;;;;5.909,40
71442;CAMPESTRINI;SUPERMERCADO CAMPESTRINI LTDA;9437632;09.437.632/0001-91;233,696;217,806;221,605;188,664;174,059;151,876;161,321;157,803;;;;;188,35
71445;GOODYEAR APE;GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA;60500246;60.500.246/0001-54;11.878,32;11.156,49;14.362,16;16.541,71;16.365,45;16.248,62;16.618,30;16.629,09;;;;;14.975,02
71452;FAST GONDOLAS;FAST GONDOLAS EQUIPAMENTOS LTDA;76902204;76.902.204/0001-80;378,199;381,675;412,625;396,621;419,705;398,138;430,405;454,886;;;;;409,03
71456;BLUECOM;BLUECOM SOLUCOES DE CONECTIVIDADE E INFORMATICA LTDA;2686151;02.686.151/0001-70;242,662;215,2;216,986;209,613;267,162;253,728;291,336;246,979;;;;;242,96
71457;INOVAT FARMA;INOVAT INDUSTRIA FARMACEUTICA LTDA.;27864378;27.864.378/0001-90;1.594,02;1.548,20;1.715,54;1.580,01;1.500,43;1.438,60;1.443,34;1.385,99;;;;;1.525,77
71458;SORVEBOM;SORVEBOM INDUSTRIAL LTDA;1967318;01.967.318/0001-09;136,83;117,521;102,72;60,77;50,23;56,674;51,685;63,721;;;;;80,02
