Cód. Perfil;Sigla;Nome Empresarial;CNPJ BÁSICO;CNPJ;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22;out/22;nov/22;dez/22;média
25468;GRAAL ENEL;POSTO EMBAIXADOR LTDA;31465255;31.465.255/0001-53;410,475;362,634;418,657;372,076;350,518;331,479;357,86;362,121;;;;;370,73
25471;MANETONI-CEN-CDRDP;CENTRAL DE SERVICOS ACO EIRELI;2506609;02.506.609/0001-62;188,492;187,519;208,36;191,746;194,094;175,137;195,755;204,647;;;;;193,22
25472;MANETONI-TRE-CSRDP;TREFILA ARAMES COMERCIO E SERVICOS INDUSTRIAIS LTDA;10431297;10.431.297/0001-01;233,362;243,753;266,041;262,381;259,628;242,816;298,268;257,371;;;;;257,95
25473;UNIMED GRANDE FLORIPA;UNIMED GRANDE FLORIANOPOLIS - COOPERATIVA DE TRABALHO MEDICO;77858611;77.858.611/0001-08;360,599;335,256;359,511;307,649;316,695;281,331;304,157;296,635;;;;;320,23
25475;EDIFICIO MILLENNIUM;CONDOMINIO MILLENNIUM OFFICE PARK;4950548;04.950.548/0001-53;134,166;122,647;156,023;100,909;65,565;52,882;71,827;57,558;;;;;95,2
25476;COFCO STA ROSA TOCANTINS;COFCO INTERNATIONAL BRASIL S.A.;6315338;06.315.338/0194-80;8,559;53,159;155;74,725;32,902;40,446;20,937;29,442;;;;;51,9
25477;JEFER;JEFER PRODUTOS SIDERURGICOS LTDA;2999999;02.999.999/0003-11;110,447;139,98;188,466;169,343;181,389;164,917;180,782;182,617;;;;;164,74
25478;BAN POTE;INDUSTRIA BANDEIRANTE EMBALAGENS E UTILIDADES PLASTICAS LTDA;31527824;31.527.824/0001-48;365,714;356,426;466,941;417,666;417,705;407,385;507,382;543,348;;;;;435,32
25479;OUTLET FORTALEZA;ENERGY COMERCIO E SERVICOS DE ENERGIA LTDA.;5836296;05.836.296/0018-47;495,473;454,011;467,09;442,045;461,828;425,306;437,815;454,554;;;;;454,77
25480;LOJA 238 - UBERLANDIA 3;MART MINAS DISTRIBUICAO LTDA;4737552;04.737.552/0008-04;133,473;125,537;140,995;132,001;121,05;115,977;117,885;119,986;;;;;125,86
25481;SOMAR COMERCIO;SOMAR COMERCIO E TRANSPORTE DE ALIMENTOS LTDA;9175609;09.175.609/0001-76;36,903;51,461;53,969;45,798;43,909;52,433;46,34;47,286;;;;;47,26
25483;SMC VAR CE I5;SANTA MARIA COMERCIALIZACAO E SERVICOS DE ENERGIA LTDA.;32023463;32.023.463/0001-65;497,049;477,075;544,268;490,761;489,817;473,465;479,909;498,781;;;;;493,89
25484;SEARA MATRIZ CL S 22;SEARA ALIMENTOS LTDA;2914460;02.914.460/0112-76;927,542;863,649;958,245;862,736;888,345;891,538;950,783;975,761;;;;;914,82
25500;SJC BIOENERGIA CL3;SJC BIOENERGIA LTDA;10249419;10.249.419/0001-35;361,23;327,726;454,263;119,509;37,47;65,325;2,055;172,028;;;;;192,45
25501;CONDUPLAST 1;PLASTICOS TANGARA LTDA;11230832;11.230.832/0001-10;119,013;121,373;133,743;122,723;129,251;127,737;127,75;133,684;;;;;126,91
25504;CASTILHO;CASTILHO MINERACAO LTDA;8528581;08.528.581/0003-02;100,031;95,539;113,316;119,053;116,782;110,678;128,887;123,821;;;;;113,51
25506;MAIS FRANGO RACOES;MAIS FRANGO MIRAGUAI LTDA;8904113;08.904.113/0001-23;61,793;50,334;63,57;53,875;66,121;78,795;68,185;71,602;;;;;64,28
25507;CERVITAM;CERVITAM PRODUTOS CERAMICOS LTDA;59546606;59.546.606/0001-70;80,707;76,209;86,505;80,723;79,877;89,192;87,17;92,368;;;;;84,09
25508;EDIFICIO NEW CENTURY;EDIFICIO NEW CENTURY;5737391;05.737.391/0001-45;138,841;133,806;168,59;128,402;102,221;91,666;103,823;99,964;;;;;120,91
25509;COFCO NOVA UBIRATA I;COFCO INTERNATIONAL BRASIL S.A.;6315338;06.315.338/0050-05;31,531;61,2;99,153;95,503;93,957;113,851;118,705;91,854;;;;;88,22
25510;COFCO CLAUDIA;COFCO INTERNATIONAL BRASIL S.A.;6315338;06.315.338/0179-41;96,394;198,844;112,559;78,629;35,791;248,12;99,249;57,411;;;;;115,87
25512;SALVADOR SHOPPING;CONDOMINIO SALVADOR SHOPPING BUSINESS;16959544;16.959.544/0001-15;141,851;150,962;166,062;143,315;138,876;102,884;105,088;111,174;;;;;132,53
25518;B2W CE;AMERICANAS S.A.;776574;00.776.574/0006-60;8.074,09;7.597,77;9.112,51;8.058,34;6.860,10;6.056,91;6.115,38;5.342,84;;;;;7.152,24
25519;COND LOG VIANA G1;CONDOMINIO LOG VIANA;23204413;23.204.413/0001-93;106,471;106,844;118,162;101,906;100,292;89,646;92,543;100,7;;;;;102,07
25520;COND LOG VIANA G3;CONDOMINIO LOG VIANA;23204413;23.204.413/0001-93;475,963;431,997;457,928;429,346;453,523;413,119;427,277;431,658;;;;;440,1
25521;BRASIPLA IND;BRASIPLA INDUSTRIA E COMERCIO LTDA;1225953;01.225.953/0001-10;149,056;150,129;119,265;89,175;78,076;78,172;68,291;102,643;;;;;104,35
25523;SCHEFFER MATRIZ - CASSOL;SCHEFFER & CIA LTDA;4733767;04.733.767/0014-03;210,294;157,507;120,025;116,714;141,147;142,755;156,523;740,828;;;;;223,22
25530;AVESLAN;CATELAN INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;19073748;19.073.748/0001-42;447,064;396,127;460,572;399,065;423,811;365,041;390,72;409,2;;;;;411,45
25531;CLUBE ESPERIA;CLUBE ESPERIA;62215223;62.215.223/0001-23;97,722;113,118;127,535;122,081;125,243;119,162;126,368;124,264;;;;;119,44
25533;PETROB APE 6;PETROLEO BRASILEIRO S A PETROBRAS;33000167;33.000.167/0001-01;1.076,97;962,931;1.175,29;1.022,42;1.013,48;863,292;910,088;935,336;;;;;994,98
25534;PETROB APE 7;PETROLEO BRASILEIRO S A PETROBRAS;33000167;33.000.167/0001-01;793,885;746,662;819,23;755,109;728,131;638,965;650,266;640,223;;;;;721,56
25535;ARAUCARIA PAPEIS CONVENCIONAL;ARAUCARIA INDUSTRIA E COMERCIO DE PAPEIS LTDA;3505376;03.505.376/0001-46;1.216,32;1.170,88;1.172,66;1.206,38;1.125,21;872,431;1.181,86;1.073,54;;;;;1.127,41
25542;DIAMANTE GELO;FMCR ADEGA COMERCIO DE BEBIDAS LTDA;19815105;19.815.105/0001-27;96,308;88,951;120,496;102,399;80,966;84,73;96,605;96,046;;;;;95,81
25546;ZL-LOG;ZL - LOG LOGISTICA LTDA;11011612;11.011.612/0001-04;71,231;30,493;27,028;21,033;16,689;14,506;16,717;17,668;;;;;26,92
25548;COFCO NOVA UBIRATA II;COFCO INTERNATIONAL BRASIL S.A.;6315338;06.315.338/0184-09;86,462;203,127;249,045;144,978;59,146;143,604;61,578;40,624;;;;;123,57
25549;EDIFICIO MARIA CECILIA;CONDOMINIO EDIFICIO MARIA CECILIA LARA CAMPOS;7172979;07.172.979/0001-24;119,997;113,741;144,73;112,467;93,489;84,671;94,403;91,858;;;;;106,92
25553;FASTPLAS SE CL;FASTPLAS AUTOMOTIVE LTDA.;3760713;03.760.713/0001-41;763,186;754,492;845,51;617,97;791,099;817,097;743,605;844,818;;;;;772,22
25560;VALE DO TAMBAU SE CONV;VALE DO TAMBAU INDUSTRIA DE PAPEL LTDA;3548504;03.548.504/0001-39;1.157,54;1.169,07;646,804;1.235,04;1.279,62;1.233,95;1.258,42;1.246,11;;;;;1.153,32
25565;ST MONICA;ASSOCIACAO BENEFICENTE SANTA MARIA;30717813;30.717.813/0001-68;52,844;128,566;161,114;134,847;130,185;113,682;98,759;125,287;;;;;118,16
25566;PETROB APE 5;PETROLEO BRASILEIRO S A PETROBRAS;33000167;33.000.167/0001-01;155,092;137,411;161,556;135,845;103,861;81,219;87,08;78,109;;;;;117,52
25568;SABAGRAM;SABAGRAM -SABADINE GRANITOS E MARMORES LTDA;3610092;03.610.092/0001-10;89,952;94,875;73,144;91,07;101,004;88,562;90,557;82,905;;;;;89,01
25570;RIONILE;RIONILE MADEIRAS LTDA;4846140;04.846.140/0001-36;224,995;243,476;264,38;245,093;268,728;242,799;261,341;249,899;;;;;250,09
25571;BOTICARIO CAMACARI CL;BOTICA COMERCIAL FARMACEUTICA LTDA;77388007;77.388.007/0001-57;1.133,13;1.077,24;1.194,95;1.091,00;1.147,69;1.027,13;1.131,19;1.209,84;;;;;1.126,52
25573;C CE SUPERMERCADOS GRILO;GRILO COMERCIO DE PRODUTOS ALIMENTICIOS EIRELI;3560680;03.560.680/0001-96;189,746;178,254;207,442;184,898;160,988;152,665;165,768;162,002;;;;;175,22
25575;TEMPER FORTE;Z. T. F. V. VIDROS LTDA;40623898;40.623.898/0001-79;96,337;118,765;112,801;97,127;112,849;122,453;112,044;105,084;;;;;109,68
25576;QUATA SAO JOSE CL;ACUCAREIRA QUATA S/A;60855574;60.855.574/0003-35;714,518;860,087;1.238,33;180,797;4,211;0;0;24,667;;;;;377,83
25577;HOSPITAL SS MARTIR;HOSPITAL SAO SEBASTIAO MARTIR;98591910;98.591.910/0001-90;125,459;105,526;103,511;79,14;81,815;89,405;80,327;79,838;;;;;93,13
25579;BRILHO EMBALAGENS;BRILHO INDUSTRIA E COMERCIO DE EMBALAGENS - EIRELI;62762323;62.762.323/0001-70;83,161;90,466;109,036;85,451;92,072;87,492;89,866;99,823;;;;;92,17
25580;HIPER MATEUS ELETRO;MATEUS SUPERMERCADOS S.A.;3995515;03.995.515/0013-09;759,323;746,375;790,411;781,083;845,273;798,878;991,505;1.051,85;;;;;845,59
25582;OCEAN PALACE;A G HOTEIS E TURISMO S/A;8690448;08.690.448/0001-96;511,433;455,914;473,168;448,293;417,9;353,693;388,25;391,394;;;;;430,01
25583;SOFFIARE;SOFFIARE INDUSTRIA DE EMBALAGENS LTDA;448397;00.448.397/0001-89;155,615;140,73;147,025;140,704;145,617;145,621;134,175;125,703;;;;;141,9
25599;IND E COM BORRACHA;INDUSTRIA E COMERCIO DE BORRACHA APUCARANA LTDA.;11120321;11.120.321/0001-46;73,9;103,706;103,442;96,965;104,559;117,161;115,686;106,169;;;;;102,7
25600;PERFITECNICA;PERFITECNICA PERFIS TECNICOS DE BORRACHA LTDA;57893521;57.893.521/0001-32;93,383;85,679;98,713;88,724;110,846;93,097;100,646;105,104;;;;;97,02
25601;SAEDONG;SAE DONG BRASIL INDUSTRIA E COMERCIO DE AUTOPECAS LTDA;18416111;18.416.111/0001-49;128,104;102,693;133,043;126,956;116,956;112,756;114,436;121,675;;;;;119,58
25608;CITIBANK MILANO;BANCO CITIBANK S A;33479023;33.479.023/0121-96;155,973;136,092;146,459;135,944;131,803;121,194;130,651;126,139;;;;;135,53
25611;SCHIO SJ;AGROPECUARIA SCHIO LTDA;91501783;91.501.783/0001-42;329,262;700,687;1.050,61;1.080,43;895,209;674,995;734,948;632,072;;;;;762,28
25613;TIJUCA;TIJUCA ALIMENTOS LTDA;9524502;09.524.502/0001-96;475,816;459,936;445,34;456,485;498,087;476,685;552,445;541,01;;;;;488,23
25614;MADEMILE;MADEMILE DERIVADOS DE MADEIRA LTDA;18813601;18.813.601/0001-89;191,73;189,565;209,776;185,26;205,669;180,273;208,634;215,12;;;;;198,25
25615;SEARA MATRIZ CL NE 2;SEARA ALIMENTOS LTDA;2914460;02.914.460/0112-76;1.842,48;1.748,17;1.899,69;1.507,71;1.968,08;1.977,55;1.927,22;1.827,39;;;;;1.837,29
25616;FRANGOS PIONEIRO - RIB PINHAL;FRANGOS PIONEIRO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;974731;00.974.731/0001-38;63,368;137,316;235,138;223,514;127,961;86,097;127,314;257,909;;;;;157,33
25621;ZANCANARO;F. ZANCANARO TERRAPLENAGEM LTDA;5461328;05.461.328/0001-29;124,069;108,294;127,223;106,404;125,376;132,515;156,619;151,992;;;;;129,06
25622;RAYMUNDO DA FONTE MG;INDUSTRIAS REUNIDAS RAYMUNDO DA FONTE SA;11507415;11.507.415/0008-49;153,343;134,171;186,416;187,957;221,141;207,613;191,821;164,733;;;;;180,9
25632;IBER-OLEFF CL 514;IBER-OLEFF BRASIL LTDA;2511054;02.511.054/0001-47;787,446;767,767;906,27;791,226;816,256;674,649;765,631;806,534;;;;;789,47
25633;JOSAPAR NORDESTE;JOSAPAR JOAQUIM OLIVEIRA SA PARTICIPACOES;87456562;87.456.562/0001-22;47,546;54,444;72,425;73,135;85,766;82,185;140,229;97,567;;;;;81,66
25636;LOT;METALURGICA LOT EIRELI;31985283;31.985.283/0001-00;70,528;95,739;109,652;95,167;101,464;92,185;103,056;109,794;;;;;97,2
25637;DISTRIBUIDORA ACAUA;DISTRIBUIDORA ACAUA COM E IND DE PROD ALIMENTICIOS LTDA;20952073;20.952.073/0001-90;114,04;121,703;156,387;131,958;149,705;154,358;145,012;155,838;;;;;141,13
25638;SEARA MATRIZ CL 16 SE;SEARA ALIMENTOS LTDA;2914460;02.914.460/0112-76;2.491,34;1.984,76;2.583,06;2.443,76;2.450,65;2.363,88;2.485,03;2.418,67;;;;;2.402,64
25639;C CE CHIPI IMPLEMENTOS;CHIPI IMPLEMENTOS RODOVIARIOS LTDA;5575629;05.575.629/0001-83;66,153;62,612;64,837;56,944;64,344;67,693;65,01;72,163;;;;;64,97
25640;C CE SILICATE INDUSTRIA;SILICATE INDUSTRIA E COMERCIO EIRELI;4952265;04.952.265/0001-40;163,522;183,984;147,706;135,666;123,738;118,213;125,165;115,761;;;;;139,22
25641;BRASAO SUPERMERCADOS XAXIM;BRASAO SUPERMERCADOS S/A;83307926;83.307.926/0001-51;45,494;41,331;42,702;37,997;35,518;33,78;36,671;36,442;;;;;38,74
25646;HAMMER SE/CO I5;AES TIETE INTEGRA SOLUCOES EM ENERGIA LTDA.;26203837;26.203.837/0001-21;105,475;112,169;110,522;49,138;69,876;76,925;85,217;111,22;;;;;90,07
25659;SUPERMERCADO COLORADO;AIDAN BONOMI STABILE - EIRELI;1561600;01.561.600/0001-91;104,907;95,838;107,489;100,562;89,284;44,526;45,984;44,674;;;;;79,16
25661;AWS BRASIL;A100 ROW SERVICOS DE DADOS BRASIL LTDA.;12147176;12.147.176/0001-50;60,469;187,776;448,966;465,964;697,723;897,858;1.058,82;1.204,92;;;;;627,81
25665;A C CAMARGO;FUNDACAO ANTONIO PRUDENTE;60961968;60.961.968/0001-06;702,712;663,303;745,91;649,777;589,469;523,067;567,577;566,688;;;;;626,06
25666;COCARI FIACAO CONVENCIONAL;COCARI - COOPERATIVA AGROPECUARIA E INDUSTRIAL;78956968;78.956.968/0017-40;910,993;1.347,67;1.440,81;1.369,38;1.467,48;1.405,48;1.447,63;1.449,16;;;;;1.354,82
25668;101 DO BRASIL;101 BRASIL INDUSTRIA DE BEBIDAS LTDA;3408722;03.408.722/0001-78;258,296;231,28;263,75;146,714;220,421;206,502;192,843;179,673;;;;;212,43
25671;UTE YARA BRASIL CL 13360;YARA BRASIL FERTILIZANTES S/A;92660604;92.660.604/0001-82;63,267;21,938;95,464;71,205;2,192;28,115;908,518;336,615;;;;;190,91
25674;ECOSERVICE;ECOSERVICE INDUSTRIAL DE COUROS LTDA;9102495;09.102.495/0001-34;110,53;123,121;135,372;131,266;136,403;139,422;153,208;168,662;;;;;137,25
25675;YARA BRASIL PARANAGUA EI S;YARA BRASIL FERTILIZANTES S/A;92660604;92.660.604/0001-82;106,959;145,336;87,551;71,936;104,196;93,567;76,367;70,356;;;;;94,53
25677;PXA LIVRE CE SE/CO;VILA NOVA AMBIENTAL LTDA.;12141133;12.141.133/0001-67;546,643;394,832;622,13;621,841;641,509;644,928;590,929;736,542;;;;;599,92
25681;KAIZEN;KAIZEN INDUSTRIA E COMERCIO DE FUNDIDOS EIRELI;14524749;14.524.749/0001-42;95,054;101,264;118,116;102,383;108,363;107,33;110,73;115,185;;;;;107,3
25682;CORTTEX IND EI SE;CORTTEX INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA;48606503;48.606.503/0001-31;53,885;51,234;59,025;49,911;51,527;45,534;47,842;48,848;;;;;50,98
25699;COFCO CARLINDA;COFCO INTERNATIONAL BRASIL S.A.;6315338;06.315.338/0211-16;185,516;0;0;0;0;0;0;0;;;;;23,19
25701;PLASTLUCAS CONVENCIONAL;PLAST LUCAS INDUSTRIA E COMERCIO LTDA;65667651;65.667.651/0001-85;216,551;312,174;369,177;283,318;81,493;114,827;120,475;133,702;;;;;203,96
25705;DB DIAGNOSTICOS;DB - MEDICINA DIAGNOSTICA LTDA.;12433420;12.433.420/0001-40;227,472;211,919;237,419;211,596;188,977;165,383;174,807;100,871;;;;;189,81
25716;GRANJA CARAVAJIO;GRANJA CARAVAJIO LTDA;7505279;07.505.279/0001-04;86,589;86,991;103,424;90,129;90,972;82,878;87,296;89,154;;;;;89,68
25723;PARADISO CLUBE;CENTRO DE RECREACAO PARADISO S A;6020056;06.020.056/0001-94;43,362;43,95;49,151;36,607;29,217;22,895;30,078;25,796;;;;;35,13
25725;GESTAMP SJP;GESTAMP BRASIL INDUSTRIA DE AUTOPECAS S/A;2147467;02.147.467/0001-94;1.103,70;1.095,92;1.307,81;1.132,04;1.140,62;1.263,32;1.166,62;1.261,59;;;;;1.183,95
25726;ADEGA CASA MADEIRA;ADEGA CASA DE MADEIRA LTDA.;94904133;94.904.133/0001-36;88,627;95,657;85,594;62,506;57,106;67,169;64,736;58,067;;;;;72,43
25728;MONTE GRANITO;MONTE GRANITO MINERACAO E COMERCIO LTDA;10500217;10.500.217/0001-14;30,776;36,657;43,06;41,13;38,631;25,709;30,007;27,462;;;;;34,18
25729;GRF MADEIRAS;GRF COMERCIO E PROCESSAMENTO DE MADEIRAS LTDA;29346321;29.346.321/0001-24;202,329;233,256;303,789;317,191;321,686;465,509;494,116;0;;;;;292,23
25730;BR NE;VIBRA ENERGIA S.A;34274233;34.274.233/0001-02;131,542;121,342;132,5;155,024;156,618;145,405;147,045;151,144;;;;;142,58
25731;INTERLANDIA MATRIZ;INTERLANDIA LIMITADA;10782639;10.782.639/0001-20;1.166,70;1.180,56;1.259,66;1.284,89;1.400,03;1.310,76;1.253,19;1.369,58;;;;;1.278,17
25733;BEL PAN;COMERCIAL VASSELAI DE ALIMENTOS EIRELI;76772177;76.772.177/0001-78;8,465;65,44;69,071;63,869;74,326;70,944;78,906;80,627;;;;;63,96
25734;MEDEIROS;MERCANTIL MEDEIROS LTDA;63563647;63.563.647/0001-41;204,391;195,889;207,648;198,625;204,201;195,338;205,851;208,504;;;;;202,56
25735;HOTEL TXAI FILIAL;TX AGROPECUARIA E TURISMO S.A.;3961189;03.961.189/0001-77;131,492;105,079;105,995;84,603;84,747;71,429;77,159;79,396;;;;;92,49
25736;MULTI FRIOS;COMERCIAL DE CARNES VALE DO SAO FRANCISCO LTDA;2423862;02.423.862/0001-52;166,661;155,256;170,115;161,348;162,037;143,934;147,344;148,605;;;;;156,91
25738;PORTO SEGURO HOTEL;SPE PORTO SEGURO 02 EMPREENDIMENTOS IMOBILIARIOS S.A;22059167;22.059.167/0001-60;332,545;258,225;290,154;268,903;182,498;210,365;0;0;;;;;192,84
25743;FARRPACK;FARRPACK INDUSTRIA DE EMBALAGENS LTDA;4705995;04.705.995/0001-47;68,433;82,208;99,182;97,013;105,862;87,109;77,469;75,032;;;;;86,54
25744;BRAGMA;BRAGMA INDUSTRIA DE EMBALAGENS LTDA.;33633372;33.633.372/0001-04;12,105;23,913;32,127;25,144;42,336;41,91;45,843;0;;;;;27,92
25745;M CARDOSO;M. CARDOSO INDUSTRIA, LOGISTICA E DISTRIBUICAO DE ALIMENTOS E BEBIDAS EIRELI;3595329;03.595.329/0002-11;192,109;179,624;187,618;172,037;199,818;203,384;176,136;160,609;;;;;183,92
25761;PAN ELECTRIC IND;PAN ELECTRIC INDUSTRIA ELETROELETRONICA LTDA;91690271;91.690.271/0001-71;110,185;144,092;171,956;123,742;143,269;130,487;146,125;157,723;;;;;140,95
25763;ROCHA ALIMENTOS;ROCHA & FILHOS LTDA;78269917;78.269.917/0001-83;0;41,727;96,251;138,72;162,389;163,847;217,644;263,229;;;;;135,48
25764;TINTAS IQUINE CL;TINTAS IQUINE LTDA.;9722463;09.722.463/0001-31;415,639;350,061;395,213;426,589;437,775;453,834;557,756;565,301;;;;;450,27
25765;WEG BETIM;WEG EQUIPAMENTOS ELETRICOS S/A;7175725;07.175.725/0001-60;529,917;488,826;609,853;536,085;428,001;371,877;375,76;455,496;;;;;474,48
25766;EXPONENCIAL VAREJISTA I50;EXPONENCIAL ENERGIA LTDA;26914969;26.914.969/0001-61;374,673;373,808;449,635;386,776;382,269;356,825;383,008;421,59;;;;;391,07
25779;SUPERMERCADO PIERIM;SUPERMERCADO PIERIM LTDA;52504024;52.504.024/0001-81;260,873;253,917;287,975;245,387;209,613;201,825;210,566;213,095;;;;;235,41
25783;VOPAK NE;VOPAK BRASIL S.A.;44167450;44.167.450/0001-49;204,471;167,419;225,619;222,124;182,884;222,932;220,329;221,057;;;;;208,35
25787;CAJ;COMPANHIA AGUAS DE JOINVILLE;7226794;07.226.794/0001-55;2.736,24;2.717,84;3.054,91;2.930,68;3.087,08;2.969,18;3.045,69;3.008,04;;;;;2.943,71
25789;CONPLAST;CONPLAST COMERCIAL IMPORTADORA EIRELI;1731938;01.731.938/0001-44;252,055;246,002;294,219;242,643;283,071;249,577;250,684;306,449;;;;;265,59
25793;COCIPA;COOPERATIVA DE CONSUMO DE INUBIA PAULISTA;51832046;51.832.046/0001-08;215,258;219,604;234,971;200,631;138,445;132,155;142,199;139,467;;;;;177,84
25795;IGUACU CAFE POCO 2;CIA. IGUACU DE CAFE SOLUVEL;76255926;76.255.926/0001-90;1,526;40,949;16,198;47,29;85,505;86,592;83,379;96,038;;;;;57,18
25796;C CE UNIMED MACEIO;UNIMED MACEIO COOPERATIVA DE TRABALHO MEDICO;12442737;12.442.737/0001-43;0;180,567;191,864;187,136;173,493;153,209;157,117;158,617;;;;;150,25
25797;ESSENCIS MG;ESSENCIS MG SOLUCOES AMBIENTAIS S/A;7004980;07.004.980/0001-40;51,528;62,289;68,84;64,863;68,54;112,715;116,119;113,955;;;;;82,36
25798;ARTFLEXIVEIS;ARTFLEXIVEIS LTDA;3692395;03.692.395/0001-29;446,277;376,487;442,545;398,198;440,575;450,008;435,835;420,861;;;;;426,35
25822;RESIPLASTIC S;RESIPLASTIC INDUSTRIA E COMERCIO LTDA;57159923;57.159.923/0001-08;93,726;103,764;135,873;95,803;106,717;106,903;116,803;111,662;;;;;108,91
25824;CHINA PARK;CHALE DOS LAGOS SERVICOS E LAZER LTDA;1299713;01.299.713/0001-60;141,037;96,231;126,466;119,218;110,357;107,413;128,231;114,698;;;;;117,96
25825;PELLEBRAS;MOTTA - COMERCIO E IMPORTACAO DE MAQUINAS E EQUIPAMENTOS LTDA;36953858;36.953.858/0001-18;92,834;58,136;72,384;102,81;213,613;301,837;396,863;329,117;;;;;195,95
25829;OK ALIMENTOS;CANDEIAS MELO INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;8219041;08.219.041/0001-85;110,437;103,37;118,671;94,265;117,776;97,22;108,944;114,08;;;;;108,1
25830;BISCOITOS TUPY;FABRICA DE BISCOITOS TUPY S A;15107410;15.107.410/0001-03;210,323;73,173;198,544;152,395;133,871;121,92;180,252;192,722;;;;;157,9
25831;SOLVEN SOLVENTES;SOLVEN SOLVENTES E QUIMICOS LTDA;74259896;74.259.896/0003-26;77,109;65,558;88,516;79,852;50,927;60,556;99,956;74,289;;;;;74,6
25832;LUXPLAST;LUXPLAST - INDUSTRIA E COMERCIO DE PLASTICOS LTDA;7339952;07.339.952/0001-83;167,021;158,588;194,057;165,866;184,192;178,823;161,787;151,35;;;;;170,21
25839;CERAMICA BJ;CERAMICA BOM JESUS EIRELI;36186474;36.186.474/0001-17;90,096;84,331;82,809;88,506;91,932;70,593;75,39;87,629;;;;;83,91
25841;APCD;ASSOCIACAO PAULISTA DE CIRURGIOES DENTISTAS;47331822;47.331.822/0001-19;91,369;94,16;120,669;85,278;65,698;55,317;70,886;63,024;;;;;80,8
25842;FERRARI ZAGATTO;FERRARI ZAGATTO COMERCIO DE INSUMOS S/A;80798499;80.798.499/0001-63;47,538;100,466;211,019;92,503;84,414;101,767;306,909;289,887;;;;;154,31
25859;ANHEMBI AGRO SE/CO I5;AES TIETE INTEGRA SOLUCOES EM ENERGIA LTDA.;26203837;26.203.837/0001-21;133,695;120,776;130,99;128,799;117,605;107,429;129,327;123,755;;;;;124,05
25862;PLUSVAL;PLUSVAL AGROAVICOLA LTDA;35030372;35.030.372/0001-45;1.911,49;1.933,23;2.048,91;1.830,93;2.058,00;2.257,82;2.478,34;2.956,73;;;;;2.184,43
25863;BERTON RECICLAGEM;BERTON RECICLAGEM E PRESERVACAO AMBIENTAL LTDA;26633906;26.633.906/0001-37;172,899;170,325;185,993;160,229;179,252;190,247;207,239;201,815;;;;;183,5
25867;MAR & TERRA;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A.;3647460;03.647.460/0001-02;0;0;237,261;233,203;247,677;267,685;206,787;60,293;;;;;156,61
25868;ALNUTRI;ALNUTRI ALIMENTOS LTDA;7747780;07.747.780/0001-87;70,838;62,821;93,219;78,085;79,148;56,421;43,995;38,435;;;;;65,37
25885;SOZO BRITAS;SOZO BRITAS LTDA;8944978;08.944.978/0001-13;98,466;99,299;124,348;81,674;95,474;76,171;66,105;59,235;;;;;87,6
25897;COMPREBEM;COMPANHIA BRASILEIRA DE DISTRIBUICAO;47508411;47.508.411/0001-56;861,035;1.013,41;1.293,02;1.099,77;1.017,59;1.031,86;1.051,01;1.167,69;;;;;1.066,92
25898;TERMINAL DE MARINGA;RAIZEN S.A.;33453598;33.453.598/0001-23;49,875;55,611;61,232;50,655;51,289;46,743;57,128;58,49;;;;;53,88
25900;PLASTIKARE;BORRE PLASTICOS LTDA;28315930;28.315.930/0001-53;123,999;115,097;146,262;139,321;139,925;129,434;127,803;125,087;;;;;130,87
25920;MAQUINAS CHINELATTO;INDUSTRIA DE MAQUINAS CHINELATTO LTDA;51470474;51.470.474/0001-38;90,795;89,087;94,089;84,66;105,507;95,448;92,694;105,588;;;;;94,73
25921;SWEDISH MATCH;SWEDISH MATCH DO BRASIL SA;33016338;33.016.338/0001-90;294,013;273,573;333,015;290,354;345,052;315,591;328,331;353,465;;;;;316,67
25924;PROMAFLEX;PROMAFLEX INDUSTRIAL LTDA;60219250;60.219.250/0002-20;259,371;214,049;229,028;191,313;207,093;229,828;239,244;245,053;;;;;226,87
25925;POLPA IDEAL;INDUSTRIA DE POLPA DE FRUTAS IDEAL LTDA;4408503;04.408.503/0001-51;89,169;68,144;90,965;81,6;94,522;88,009;75,102;76,366;;;;;82,98
25926;ELGIN AM;ELGIN INDUSTRIAL DA AMAZONIA LTDA;14200166;14.200.166/0001-66;260,194;204,332;181,188;183,799;221,407;168,727;184,211;219,819;;;;;202,96
25927;YDUQS FACID;YDUQS EDUCACIONAL LTDA.;3681572;03.681.572/0001-71;55,841;77,423;109,645;101,132;120,825;86,743;54,828;104,633;;;;;88,88
25929;QUATTRO PATRIMONIAL;QUATTRO PATRIMONIAL LTDA;26678845;26.678.845/0001-24;207,858;204,805;221,486;204,443;121,101;154,636;207,627;236,342;;;;;194,79
25931;TABIPORÃ;MINERACAO TABIPORA LTDA;79066841;79.066.841/0001-51;561,502;682,952;794,189;771,575;822,376;813,458;837,692;855,698;;;;;767,43
